ID,Operator,Objective,Objective Description,File,Line,Original Code,Mutated Code,Effect,Non-Terminate,Equivalent
M1,ROR,O5,,mutant1.py,38,new_path < distance_from_start[neighbor],new_path <= distance_from_start[neighbor],Updates on equal cost too — may choose different but equally-valid path,No,No
M2,ROR,O5,,mutant2.py,38,new_path < distance_from_start[neighbor],new_path > distance_from_start[neighbor],Updates only when new path is WORSE → stores worst distances,No,No
M3,ROR,O5,,mutant3.py,38,new_path < distance_from_start[neighbor],new_path >= distance_from_start[neighbor],Updates on worse-or-equal → overwrites good values,No,No
M4,ROR,O5,,mutant4.py,38,new_path < distance_from_start[neighbor],new_path != distance_from_start[neighbor],Updates on any change (better or worse) → unstable distances,No,No
M5,AOR,O1,Verify the test suite detects wrong distance values,mutant5.py,44,distance_from_start[current_node] + distance,distance_from_start[current_node] - distance,Subtracts edge weight → negative / wrong distances,No,No
M6,AOR,O1,Verify the test suite detects wrong distance values,mutant6.py,37,distance_from_start[current_node] + distance,distance_from_start[current_node] * distance,Multiplies → exponentially wrong costs,No,No
M7,VR,O1,Verify the test suite detects wrong distance values,mutant7.py,37,distance_from_start[current_node] + distance,distance_from_start[neighbor] + distance,Uses neighbor's own stored distance — severs path accumulation,No,No
M8,VR,O1,Verify the test suite detects wrong distance values,mutant8.py,37,distance_from_start[current_node] + distance,distance + distance,Ignores accumulated path cost entirely,No,No
M9,CR,O1,Verify the test suite detects wrong distance values,mutant9.py,37,distance_from_start[current_node] + distance,distance_from_start[current_node] + distance + 1,"Adds +1 per hop — distances grow with path length, not weight",No,No
M10,FR,O4,Verify the test suite detects broken loop control,mutant10.py,30,"min(unvisited_nodes, key=lambda node: distance_from_start[node])","max(unvisited_nodes, key=lambda node: distance_from_start[node])",Picks farthest node each step — opposite of Dijkstra's greedy order,No,No
M11,ROR,O4,,mutant11.py,34,"min(unvisited_nodes, key=lambda node: distance_from_start[node])","max(unvisited_nodes, key=lambda node: distance_from_start[node])",Picks farthest node each step — opposite of Dijkstra's greedy order,No,No
M12,ROR,O4,Verify the test suite detects broken loop control,mutant12.py,34,distance_from_start[current_node] == INFINITY,distance_from_start[current_node] < INFINITY,Same early-exit effect as M11,No,No
M13,ROR,O4,Verify the test suite detects broken loop control,mutant13.py,34,distance_from_start[current_node] == INFINITY,distance_from_start[current_node] > INFINITY,Guard is always False (dead code) — potentially equivalent on connected graphs,No,Yes
M14,SDL,O5,,mutant14.py,39,distance_from_start[neighbor] = new_path,(deleted),Distance table never updated; all remain at initial values,No,No
M15,VR,O5,,mutant15.py,39,distance_from_start[neighbor] = new_path,distance_from_start[current_node] = new_path,Updates current node's distance instead of the neighbour's,No,No
M16,SDL,O2,Verify the test suite detects wrong path reconstruction,mutant16.py,40,previous_node[neighbor] = current_node,(deleted),Predecessor map never populated; path = [start_node] only,No,No
M17,VR,O2,Verify the test suite detects wrong path reconstruction,mutant17.py,40,previous_node[neighbor] = current_node,previous_node[neighbor] = neighbor,Every node points to itself → infinite loop in reconstruction,Yes,No
M18,VR,O2,Verify the test suite detects wrong path reconstruction,mutant18.py,40,previous_node[neighbor] = current_node,previous_node[current_node] = neighbor,Predecessor direction reversed → wrong / crash path,No,No
M19,SDL,O4,Verify the test suite detects broken loop control,mutant19.py,42,if current_node == end_node: break,(deleted),Removes early exit — does extra work but result unchanged — likely equivalent,No,Yes
M20,VR,O4,Verify the test suite detects broken loop control,mutant20.py,42,if current_node == end_node: break,if current_node == start_node: break,Exits immediately after start; no paths beyond direct neighbours,No,No
M21,CR,O1,Verify the test suite detects wrong distance values,mutant21.py,4,"INFINITY = float(""inf"")",INFINITY = 0,All nodes initialised to 0; relaxation never fires for positive weights,No,No
M22,CR,O1,Verify the test suite detects wrong distance values,mutant22.py,25,0 if node == start_node else INFINITY,1 if node == start_node else INFINITY,Start biased +1 → every returned distance is off by 1,No,No
M23,CR,O1,Verify the test suite detects wrong distance values,mutant23.py,25,0 if node == start_node else INFINITY,0 (always),All nodes at distance 0; relaxation condition never satisfied,No,No
M24,VR,O2,Verify the test suite detects wrong path reconstruction,mutant24.py,27,{node: None for node in self.nodes},{node: node for node in self.nodes},All predecessors non-None at start → infinite loop,Yes,No
M25,SDL,O4,Verify the test suite detects broken loop control,mutant25.py,23,unvisited_nodes = self.nodes.copy(),unvisited_nodes = set(),Empty unvisited set; loop never executes; returns INFINITY,No,No
M26,SDL,O4,Verify the test suite detects broken loop control,mutant26.py,33,unvisited_nodes.remove(current_node),(deleted),Node never removed; same node re-selected forever — infinite loop,Yes,No
M27,VR,O3,Verify the test suite detects incorrect graph construction,mutant27.py,20,"adjacency_list[edge[0]].add((edge[1], edge[2]))","adjacency_list[edge[1]].add((edge[0], edge[2]))",All edges reversed; directed graphs lose their paths,No,No
M28,VR,O3,Verify the test suite detects incorrect graph construction,mutant28.py,20,"adjacency_list[edge[0]].add((edge[1], edge[2]))","adjacency_list[edge[0]].add((edge[0], edge[2]))",Every edge becomes a self-loop; no real neighbors reachable,No,No
M29,VR,O3,Verify the test suite detects incorrect graph construction,mutant29.py,16,"self.nodes.update([edge[0], edge[1]])",self.nodes.update([edge[0]]),Destination-only nodes omitted → KeyError during traversal,No,No
M30,VR,O3,Verify the test suite detects incorrect graph construction,mutant30.py,12,"(edge_from, edge_to, cost)","(edge_to, edge_from, cost)",Edges reversed at parse time; same effect as M27 but earlier,No,No
M31,FR,O2,Verify the test suite detects wrong path reconstruction,mutant31.py,47,path.appendleft(current_node),path.append(current_node),Back-trace appended to right → path in reverse order,No,No
M32,SDL,O2,Verify the test suite detects wrong path reconstruction,mutant32.py,49,path.appendleft(start_node),(deleted),Start node missing from returned path,No,No
M33,VR,O2,Verify the test suite detects wrong path reconstruction,mutant33.py,49,path.appendleft(start_node),path.appendleft(end_node),end_node duplicated; start_node absent from path,No,No
M34,LOR,O2,Verify the test suite detects wrong path reconstruction,mutant34.py,46,while previous_node[current_node] is not None,while previous_node[current_node] is None,Loop condition inverted → reconstruction skipped; path = [start_node],No,No
M35,VR,O1,Verify the test suite detects wrong distance values,mutant35.py,51,distance_from_start[end_node],distance_from_start[start_node],Always returns 0 (start's own distance) regardless of destination,No,No
M36,VR,O2,Verify the test suite detects wrong path reconstruction,mutant36.py,45,current_node = end_node,current_node = start_node,Back-trace starts at start_node → reconstructs no path; returns [start_node],No,No
M37,SDL,O2,Verify the test suite detects wrong path reconstruction,mutant37.py,48,current_node = previous_node[current_node],(deleted),Pointer never advances in loop → infinite loop,No,No
M38,AOR,O1,Verify the test suite detects wrong distance values,mutant38.py,37,distance_from_start[current_node] + distance,distance_from_start[current_node] / distance,Divides accumulated cost by edge weight → completely wrong distances,No,No
M39,CR,O1,Verify the test suite detects wrong distance values,mutant39.py,4,"float(""inf"")","float(""-inf"")",INFINITY sentinel is −∞; relaxation always false; distances corrupted from start,No,No
M40,ROR,O5,,mutant40.py,38,new_path < distance_from_start[neighbor],new_path == distance_from_start[neighbor],Updates only on exact equality — almost never fires; most nodes stay at INFINITY,No,No
M41,ROR,O4,Verify the test suite detects broken loop control,mutant41.py,42,if current_node == end_node: break,if current_node != end_node: break,Exits on first non-destination node processed — almost no relaxation performed,No,No
M42,VR,O1,Verify the test suite detects wrong distance values,mutant42.py,37,distance_from_start[current_node] + distance,distance_from_start[start_node] + distance,"Base is always 0 (start dist); tentative = edge weight only, ignores path accumulation",No,No
M43,VR,O2,Verify the test suite detects wrong path reconstruction,mutant43.py,40,previous_node[neighbor] = current_node,previous_node[neighbor] = start_node,All neighbors point to start_node → reconstruction loops or returns wrong path,No,No
M44,CR,O3,Verify the test suite detects incorrect graph construction,mutant44.py,20,"adjacency_list[edge[0]].add((edge[1], edge[2]))","adjacency_list[edge[0]].add((edge[1], 1))","All edge weights set to 1; finds fewest-hop path, not minimum-weight path",No,No
M45,SDL,O4,Verify the test suite detects broken loop control,mutant45.py,23,unvisited_nodes = self.nodes.copy(),unvisited_nodes = self.nodes,unvisited_nodes is live reference; remove() during traversal corrupts self.nodes,No,No
